id,name,league_id,logo,slug,sofifa_url,tactics_video_url,faces_video_url,founded_year,stadium,capacity,city,nickname,members
43,Manchester City,2,img/equipos/Manchester City.png,manchester-city,https://sofifa.com/squad/2222949,,,1880,Etihad Stadium,53.400,Mánchester,Citizens,Desconocido
44,Manchester United,2,img/equipos/Manchester United.png,manchester-united,https://sofifa.com/squad/2226122,,,1878,Old Trafford,74.310,Mánchester,Red Devils,Desconocido
54,Milan,4,img/equipos/AC Milan.png,milan,https://sofifa.com/squad/2233344,,,1899,Giuseppe Meazza,80.018,Milán,I Rossoneri,Desconocido
108,Millonarios,11,img/equipos/Millonarios.png,millonarios,,,,1946,Estadio Nemesio Camacho El Campín,36.343,Bogotá,El Ballet Azul,Desconocido
92,Mirassol,7,img/equipos/Mirassol.png,mirassol,https://sofifa.com/squad/2305870,,,1924,Estádio José Maria de Campos Maia,15.000,Mirassol,Leão da Araraquarense,Desconocido
120,Nacional,15,img/equipos/Nacional.png,nacional,,,,1899,Gran Parque Central,37.000,Montevideo,Bolsilludos,~85.000
55,Napoli,4,img/equipos/Napoli.png,napoli,https://sofifa.com/squad/2232780,,,1926,Diego Armando Maradona,54.726,Nápoles,Gli Azzurri,Desconocido
45,Newcastle United,2,img/equipos/Newcastle United.png,newcastle-united,https://sofifa.com/squad/2273082,,,1892,St James' Park,52.305,Newcastle,Magpies,Desconocido
6,Newell's Old Boys,1,img/equipos/Club Atletico Newells Old Boys.png,newells,https://sofifa.com/squad/2211273,https://sofifa.com/squad/2211273,,1903,Marcelo Bielsa,42.000,Rosario,Lepra,83.040
46,Nottingham Forest,2,img/equipos/Nottingham Forest.png,nottingham-forest,https://sofifa.com/squad/2273090,,,1865,City Ground,30.445,Nottingham,Forest,Desconocido
115,Olimpia,13,img/equipos/Olimpia.png,olimpia,,,,1902,Estadio Manuel Ferreira,20.000,Asunción,El Decano,Desconocido
69,Osasuna,5,img/equipos/C.A. Osasuna.png,ca-osasuna,https://sofifa.com/squad/2307649,,,1920,El Sadar,23.516,Pamplona,Rojillos,Desconocido
93,Palmeiras,7,img/equipos/Palmeiras.png,palmeiras,https://sofifa.com/squad/2305876,,,1914,Allianz Parque,43.713,São Paulo,Verdão,Desconocido
51,Paris Saint-Germain,3,img/equipos/Paris Saint Germain.png,paris-saint-germain,https://sofifa.com/squad/2215506,https://youtu.be/xRbSOiYRTOU?si=AOqcl1e84GBiNyoo,,1970,Parc des Princes,"47,929",Paris,Les Parisiens,Desconocido
121,Peñarol,15,img/equipos/Penarol.png,penarol,,,,1891,Estadio Campeón del Siglo,40.000,Montevideo,Carboneros,Desconocido
24,Platense,1,img/equipos/Club Atletico Platense.png,platense,https://sofifa.com/squad/2211900,,,1905,Ciudad de Vicente López,28.320,Buenos Aires,Calamar,15.000
3,Racing Club,1,img/equipos/Racing Club.png,racing-club,https://sofifa.com/squad/2211138,None,None,1903,Presidente PerónNone,50.880,Buenos Aires,Academia,103.422
72,Rayo Vallecano,5,img/equipos/Rayo Vallecano.png,rayo-vallecano,https://sofifa.com/squad/2307662,,,1924,Estadio de Vallecas,14.505,Madrid,Franjirrojos,Desconocido
61,Real Betis,5,img/equipos/Real Betis.png,real-betis,https://sofifa.com/squad/2310037,,,1907,Benito Villamarín,60.721,Sevilla,Los Verdiblancos,Desconocido
70,Real Madrid,5,img/equipos/Real Madrid C.F..png,real-madrid-cf,https://sofifa.com/squad/2215516,https://youtu.be/7Rso35sZH00?si=LFuf029OmtjJyus2,,1902,Santiago Bernabéu,81.044,Madrid,Los Merengues,Desconocido
71,Real Oviedo,5,img/equipos/Real Oviedo.png,real-oviedo,https://sofifa.com/squad/2310170,,,1926,Estadio Carlos Tartiere,30.500,Oviedo,Carbayones,Desconocido
